Code,Name,Exchange,Point,Min Move,F,G,H,J,K,M,N,Q,U,V,X,Z
AD,Australian Dollar,Chicago Mercantile Exchange,0.0001,10,0,0,1,0,0,1,0,0,1,0,0,1
BP,British Pound,Chicago Mercantile Exchange,0.0001,6.25,0,0,1,0,0,1,0,0,1,0,0,1
CD,Canadian Dollar,Chicago Mercantile Exchange,0.0001,10,0,0,1,0,0,1,0,0,1,0,0,1
EC,Euro,Chicago Mercantile Exchange,0.0001,12.5,0,0,1,0,0,1,0,0,1,0,0,1
JY,Japanese Yen,Chicago Mercantile Exchange,0.000001,12.5,0,0,1,0,0,1,0,0,1,0,0,1
PM,Mexican Peso,Chicago Mercantile Exchange,0.0001,5,0,0,1,0,0,1,0,0,1,0,0,1
SF,Swiss Franc,Chicago Mercantile Exchange,0.0001,12.5,0,0,1,0,0,1,0,0,1,0,0,1
DX,U.S. Dollar Index,ICE,0.005,5,0,0,1,0,0,1,0,0,1,0,0,1
HG,Copper,New York Mercantile Exchange,0.0005,12.5,1,0,1,0,1,0,1,0,1,0,0,1
GC,Gold,New York Mercantile Exchange,0.1,10,0,1,0,1,0,1,0,1,0,1,0,1
PA,Palladium,New York Mercantile Exchange,0.05,5,0,0,1,0,0,1,0,0,1,0,0,1
PL,Platinum,New York Mercantile Exchange,0.1,5,1,0,0,1,0,0,1,0,0,1,0,0
SI,Silver,New York Mercantile Exchange,0.005,25,0,0,1,0,1,0,1,0,1,0,0,1
ED,Eurodollar,Chicago Mercantile Exchange,0.005,12.5,0,0,1,0,0,1,0,0,1,0,0,1
EY,Euroyen,Chicago Mercantile Exchange,0.005,1250,0,0,1,0,0,1,0,0,1,0,0,1
TB,Treasury Bills 13-wk,Chicago Mercantile Exchange,0.005,12.5,0,0,1,0,0,1,0,0,1,0,0,1
US,Treasury Bonds,Chicago Board of Trade,0.03125,31.25,0,0,1,0,0,1,0,0,1,0,0,1
TY,Treasury Notes 10yr,Chicago Board of Trade,0.015625,15.625,0,0,1,0,0,1,0,0,1,0,0,1
FV,Treasury Notes 5yr,Chicago Board of Trade,0.0078125,7.8125,0,0,1,0,0,1,0,0,1,0,0,1
CR,RJ/CRB Index Futures,ICE,0.1,5,0,0,1,0,0,1,0,0,1,0,0,1
DJ,Dow Jones Industrial,Chicago Board of Trade,1,10,0,0,1,0,0,1,0,0,1,0,0,1
ND,NASDAQ 100,Chicago Mercantile Exchange,0.25,25,0,0,1,0,0,1,0,0,1,0,0,1
NK,Nikkei 225,Chicago Mercantile Exchange,5,25,0,0,1,0,0,1,0,0,1,0,0,1
SP,S&P 500,Chicago Mercantile Exchange,0.1,25,0,0,1,0,0,1,0,0,1,0,0,1
ES,S&P 500 E-Mini,Chicago Mercantile Exchange,0.25,12.5,0,0,1,0,0,1,0,0,1,0,0,1
CC,Cocoa,ICE,1,10,0,0,1,0,1,0,1,0,1,0,0,1
SB,Sugar #11 World,ICE,0.01,11.2,0,0,1,0,1,0,1,0,0,1,0,0
KC,Coffee,ICE,0.05,18.75,0,0,1,0,1,0,1,0,1,0,0,1
OJ,Orange Juice,ICE,0.05,7.5,1,0,1,0,1,0,1,0,1,0,1,0
FC,Feeder Cattle,Chicago Mercantile Exchange,0.00025,12.5,1,0,1,1,1,0,0,1,1,1,1,0
LC,Live Cattle,Chicago Mercantile Exchange,0.00025,10,0,1,0,1,0,1,0,1,0,1,0,1
LH,Lean Hogs,Chicago Mercantile Exchange,0.00025,10,0,1,0,1,0,1,1,1,0,1,0,1
PB,Pork Bellies,Chicago Mercantile Exchange,0.00025,10,0,1,1,0,1,0,1,1,0,0,0,0
RR,Rough Rice,Chicago Board of Trade,0.05,10,1,0,1,0,1,0,1,0,1,0,1,0
C,Corn,Chicago Board of Trade,0.25,12.5,0,0,1,0,1,0,1,0,1,0,0,1
O,Oats,Chicago Board of Trade,0.25,12.5,0,0,1,0,1,0,1,0,1,0,0,1
S,Soybeans,Chicago Board of Trade,0.25,12.5,1,0,1,0,1,0,1,1,1,0,1,0
SM,Soybean Meal,Chicago Board of Trade,0.1,10,1,0,1,0,1,0,1,1,1,1,0,1
BO,Soybean Oil,Chicago Board of Trade,0.0001,6,1,0,1,0,1,0,1,1,1,1,0,1
W,Wheat,Chicago Board of Trade,0.25,12.5,0,0,1,0,1,0,1,0,1,0,0,1
KW,Kansas Wheat,Kansas City Board Of Trade,0.25,12.5,0,0,1,0,1,0,1,0,1,0,0,1
MW,Minneapolis Wheat,The Minneapolis Grain Exchange,0.25,12.5,0,0,1,0,1,0,1,0,1,0,0,1
NG,Natural Gas (Henry Hub),New York Mercantile Exchange,0.001,0.1,1,1,1,1,1,1,1,1,1,1,1,1
CL,Crude Oil Light Sweet,New York Mercantile Exchange,0.01,10,1,1,1,1,1,1,1,1,1,1,1,1
RB,RBOB Gasoline New York,New York Mercantile Exchange,0.0001,4.2,1,1,1,1,1,1,1,1,1,1,1,1
HO,Heating Oil,New York Mercantile Exchange,0.0001,4.2,1,1,1,1,1,1,1,1,1,1,1,1
LB,Lumber,Chicago Mercantile Exchange,0.1,11,1,0,1,0,1,0,1,0,1,0,1,0
CT,Cotton #2,ICE,0.01,5,0,0,1,0,1,0,1,0,0,1,0,1
